Reading,Mote ID,Humidity,Temperature,Label,Is_Singlehop,Has_Fault
3267,4,57.04,26.16,0,1,0
584,3,45.83,26.55,0,1,0
551,1,47.7,29.01,0,0,0
2710,1,21.78,22.36,0,0,1
2037,3,49.39,28.09,0,0,0
3765,3,43.78,24.95,0,1,0
3995,4,47.38,24.22,0,1,0
224,1,42.84,28.84,0,1,0
1817,1,50.62,28.54,0,1,0
4078,1,41.84,29.57,0,1,0
751,1,42.27,30.08,0,0,0
4482,1,44.1,27.51,0,1,0
432,1,70.03,27.52,0,0,1
3711,4,39.59,22.5,0,1,1
4951,4,27.28,27.04,0,1,1
642,2,46.01,30.78,0,1,0
1818,2,47.96,28.76,0,0,0
1880,4,50.42,28.21,0,1,0
3383,1,80.0,30.19,0,0,1
1033,4,50.87,27.1,0,0,0
1901,3,31.85,30.51,0,1,1
4161,1,69.82,26.9,0,0,0
2105,4,50.06,26.22,0,0,0
2933,3,44.1,26.5,0,1,0
3571,2,40.84,30.19,0,1,1
3954,2,69.13,26.82,0,0,0
3631,4,47.71,30.07,0,0,0
2755,2,65.53,27.87,0,0,0
3247,3,56.46,26.48,0,1,1
1140,4,45.02,33.21,0,1,0
1794,4,48.68,27.07,0,0,0
1626,3,50.28,27.62,0,1,0
104,2,42.09,29.86,0,1,0
3794,4,62.39,26.92,0,1,1
3029,4,58.96,28.89,0,1,0
2477,1,29.09,31.15,0,0,1
1323,4,40.27,32.41,0,1,0
746,1,47.11,28.27,0,0,1
444,1,58.12,33.14,0,1,1
535,2,40.73,34.75,0,1,0
3998,4,48.28,32.35,0,1,1
3996,4,45.16,30.86,0,1,0
423,2,48.21,27.58,0,0,0
3586,1,41.96,26.85,0,0,0
4385,3,42.65,25.89,0,1,0
1444,1,39.11,17.32,0,0,1
4681,2,45.02,27.52,0,1,0
1592,4,46.74,27.68,0,1,0
3916,1,69.6,26.73,0,0,0
5050,4,46.42,23.63,0,1,0
2448,1,51.73,27.22,0,1,1
1456,2,46.67,27.88,0,1,0
1750,4,50.29,27.89,0,1,0
3349,2,44.36,29.99,0,0,0
3306,1,68.73,27.12,0,0,0
1410,1,44.74,29.41,0,1,0
4043,2,44.47,27.17,0,1,0
1203,1,42.1,29.01,0,1,0
2770,3,44.97,27.08,0,1,0
4412,3,44.31,27.4,0,1,0
2014,2,62.07,29.05,0,0,0
3662,4,44.7,25.35,0,1,0
